"cache.pool.app.label";"Application"
"cache.pool.default.label";"Default Cache"
"cache.pool.stash_default.label";"Default Cache"
"cache.pool.system.label";"System"
"cache.stash.driver.APC.label";"APC"
"cache.stash.driver.APCu.label";"APCu"
"cache.stash.driver.BlackHole.label";"Null"
"cache.stash.driver.BlackHole.notes";"The Null driver will always take values but never saves them."
"cache.stash.driver.Composite.label";"Composite"
"cache.stash.driver.Composite.notes";"The Composite driver acts as a wrapper around one or more drivers, allowing different drivers to work together in a single cache."
"cache.stash.driver.Ephemeral.label";"Ephemeral"
"cache.stash.driver.Ephemeral.notes";"The Ephemeral driver stores data for the lifetime of the running process or web request."
"cache.stash.driver.FileSystem.label";"File System"
"cache.stash.driver.FileSystem.notes";"The File System driver stores values in files as native PHP code."
"cache.stash.driver.Memcache.label";"Memcache"
"cache.stash.driver.Memcached.label";"Memcache"
"cache.stash.driver.Redis.label";"Redis"
"cache.stash.driver.SQLite.label";"SQLite"
"cache.stash.driver.support.notes";"Cache statistics are only available for the APC driver."
