"cache.pool.app.label";"Application"
"cache.pool.default.label";"Cache par défaut"
"cache.pool.stash_default.label";"Cache par défaut"
"cache.pool.system.label";"Système"
"cache.stash.driver.Apc.label";"APC"
"cache.stash.driver.Apcu.label";"APCu"
"cache.stash.driver.BlackHole.label";"Nul"
"cache.stash.driver.BlackHole.notes";"L'adaptateur nul prendra toujours des valeurs mais ne les enregistrera jamais."
"cache.stash.driver.Composite.label";"Composite"
"cache.stash.driver.Composite.notes";"L'adaptateur composite agit comme un wrapper autour d'un ou plusieurs adaptateurs, permettant à différents adaptateurs de fonctionner ensemble dans un seul cache."
"cache.stash.driver.Ephemeral.label";"Éphémère"
"cache.stash.driver.Ephemeral.notes";"L'adaptateur éphémère stocke les données pendant toute la durée de vie du processus en cours d'exécution ou de la requête Web."
"cache.stash.driver.FileSystem.label";"Fichiers"
"cache.stash.driver.FileSystem.notes";"L'adaptateur fichiers stocke les valeurs dans des fichiers sous forme de code PHP natif."
"cache.stash.driver.Memcache.label";"Memcache"
"cache.stash.driver.Memcached.label";"Memcache"
"cache.stash.driver.Redis.label";"Redis"
"cache.stash.driver.SQLite.label";"SQLite"
"cache.stash.driver.support.notes";"Les statistiques de cache ne sont disponibles que pour l'adaptateur APC."
